GDP (Billions),Gold Medals,Gold Medals Male,Gold Medals Female
18,0,0,0
152,0,0,0
17,0,0,0
59,0,0,0
147,0,0,0
10,0,0,0
137,0,0,0
11,0,0,0
148,1,1,0
349,0,0,0
8,0,0,0
13,0,0,0
26,0,0,0
61,0,0,0
6,0,0,0
20,0,0,0
25,0,0,0
132,0,0,0
4,0,0,0
6,0,0,0
31,0,0,0
27,0,0,0
35,0,0,0
77,0,0,0
22,0,0,0
5,0,0,0
15,0,0,0
6,0,0,0
315,0,0,0
6,0,0,0
3,0,0,0
10,0,0,0
104,0,0,0
68,0,0,0
7,0,0,0
284,1,0,1
257,0,0,0
71,0,0,0
128,1,1,0
276,0,0,0
238,0,0,0
3,0,0,0
4,0,0,0
27,0,0,0
46,0,0,0
5,0,0,0
8,6,6,0
3,0,0,0
2,0,0,0
1,0,0,0
39,0,0,0
224,3,3,0
1100,14,10,4
1270,3,2,1
12,0,0,0
288,3,0,3
592,32,11,21
507,4,1,3
14,5,2,3
15,8,7,1
40,36,36,0
156,0,0,0
322,0,0,0
11000,11,5,6
3,0,0,0
7,0,0,0
758,52,29,23
10,2,1,1
213,3,3,0
51,0,0,0
3,0,0,0
0,0,0,0
0,0,0,0
4,0,0,0
12,0,0,0
2690,0,0,0
2,0,0,0
50,0,0,0
4,0,0,0
11,0,0,0
3,0,0,0
37,27,4,23
101,0,0,0
5,0,0,0
18,0,0,0
8,0,0,0
48,0,0,0
54,0,0,0
53,0,0,0
10,3,3,0
2,0,0,0
26,2,1,1
54,1,0,1
81,0,0,0
11,0,0,0
28,1,1,0
15,0,0,0
13,3,0,3
41,1,0,1
38,14,14,0
66,3,2,1
34,0,0,0
6,0,0,0
76,0,0,0
57,1,1,0
48,0,0,0
4,0,0,0
1,0,0,0
1,0,0,0
8,0,0,0
13,0,0,0
1020,3,2,1
8,0,0,0
9,0,0,0
14,0,0,0
391,0,0,0
17,0,0,0
2,0,0,0
10,0,0,0
4,0,0,0
8,0,0,0
15,0,0,0
33,0,0,0
57,0,0,0
24,0,0,0
12,0,0,0
420,35,27,8
488,11,6,5
574,8,4,4
2,0,0,0
1,0,0,0
15,0,0,0
226,23,22,1
5,0,0,0
96,0,0,0
1,0,0,0
87,0,0,0
10,0,0,0
10,0,0,0
26,1,0,1
2,0,0,0
279,0,0,0
150,6,5,1
1,0,0,0
101,0,0,0
1,0,0,0
0,0,0,0
4,0,0,0
1,0,0,0
7,0,0,0
10,0,0,0
1,0,0,0
19,0,0,0
17,0,0,0
5,0,0,0
2,0,0,0
12,0,0,0
70,0,0,0
56,15,14,1
5,0,0,0
0,0,0,0
0,0,0,0
250,0,0,0
305,0,0,0
13,0,0,0
748,1,1,0
1640,0,0,0
29,2,2,0
1,0,0,0
394,1,1,0
1,0,0,0
943,100,71,29
301,3,2,1
14,11,9,2
9,0,0,0
10,6,0,6
76,3,0,3
3,0,0,0
4,0,0,0
2,0,0,0
6,0,0,0
23,0,0,0
1,0,0,0
1,0,0,0
16,2,2,0
17,0,0,0
2,0,0,0
3,1,1,0
5,0,0,0
5,0,0,0
88,0,0,0
99,0,0,0
2,0,0,0
17,0,0,0
53,0,0,0
1,0,0,0
0,0,0,0
20,0,0,0
189,0,0,0
115,0,0,0
180,0,0,0
1140,2,0,2
1460,0,0,0
9,0,0,0
9,0,0,0
2060,33,26,7
8,0,0,0
510,15,1,14
1,0,0,0
19,0,0,0
3890,15,11,4
442,4,2,2
37,13,0,13
59,1,1,0
2,0,0,0
7,0,0,0
117,0,0,0
112,0,0,0
9,0,0,0
6,0,0,0
14,0,0,0
244,0,0,0
9,0,0,0
0,0,0,0
194,0,0,0
1940,11,11,0
18,0,0,0
15,0,0,0
36,0,0,0
35,0,0,0
19,6,5,1
2330,3,2,1
40,0,0,0
54,0,0,0
1,0,0,0
55,0,0,0
1,0,0,0
46,0,0,0
42,0,0,0
5,0,0,0
30,1,1,0
4030,8,7,1
1,0,0,0
1,0,0,0
0,0,0,0
9,0,0,0
6,0,0,0
32,0,0,0
14,0,0,0
1,0,0,0
1,0,0,0
409,0,0,0
197,3,3,0
584,6,6,0
7,0,0,0
176,2,2,0
10,0,0,0
6,6,0,6
7,1,0,1
8,0,0,0
11,4,4,0
11,1,0,1
56,0,0,0
1,0,0,0
2,0,0,0
29,0,0,0
50,0,0,0
76,0,0,0
0,0,0,0
0,0,0,0
231,0,0,0
9,0,0,0
8,0,0,0
407,2,0,2
2,0,0,0
2650,2,2,0
29,0,0,0
0,0,0,0
0,0,0,0
15,0,0,0
16,0,0,0
4,0,0,0
195,9,6,3
42,0,0,0
2,5,5,0
1,0,0,0
36,5,5,0
1410,15,7,8
97,6,5,1
197,28,10,18
3,0,0,0
6,0,0,0
11,1,1,0
1,0,0,0
30,2,2,0
598,12,4,8
4,0,0,0
1000,43,34,9
1090,6,4,2
1220,22,13,9
765,14,9,5
609,5,0,5
1010,14,7,7
2750,2,1,1
1030,0,0,0
1470,2,0,2
864,19,8,11
5,1,0,1
8,0,0,0
1,0,0,0
15,0,0,0
37,0,0,0
116,2,1,1
117,0,0,0
144,0,0,0
3,0,0,0
